Date,Open,High,Low,Close,Adj Close,Volume
2015-10-13,7.2,7.21,7.18,7.21,7.21,2000
2015-10-14,7.21,7.21,7.21,7.21,7.21,0
2015-10-15,7.22,7.23,7.21,7.23,7.23,600
2015-10-16,7.13,7.24,7.12,7.24,7.24,8000
2015-10-19,7.218999999999999,7.218999999999999,7.14,7.19,7.19,4900
2015-10-20,7.19,7.19,7.19,7.19,7.19,0
2015-10-21,7.124,7.193,7.124,7.19,7.19,2500
2015-10-22,7.19,7.19,7.19,7.19,7.19,0
2015-10-23,7.111000000000001,7.15,7.111000000000001,7.15,7.15,1100
2015-10-26,7.12,7.125,7.08,7.1,7.1,7200
2015-10-27,7.08,7.15,7.08,7.08,7.08,7900
2015-10-28,7.09,7.14,7.08,7.08,7.08,1800
2015-10-29,7.084,7.09,6.19,6.9,6.9,25000
2015-10-30,7.03,7.04,6.96,6.96,6.96,1400
2015-11-02,6.96,6.96,6.96,6.96,6.96,100
2015-11-03,6.96,6.96,6.96,6.96,6.96,0
2015-11-04,6.88,6.92,6.86,6.92,6.92,1200
2015-11-05,6.9,6.91,6.9,6.91,6.91,26500
2015-11-06,6.96,7.05,6.96,7.0,7.0,23000
2015-11-09,7.0,7.0,6.8,6.85,6.85,20500
2015-11-10,6.85,7.03,6.85,7.0,7.0,44900
2015-11-11,7.09,7.305,7.05,7.09,7.09,65100
2015-11-12,7.05,7.19,7.05,7.17,7.17,1900
2015-11-13,7.16,7.51,7.15,7.46,7.46,68200
2015-11-16,7.46,7.66,7.36,7.57,7.57,22600
2015-11-17,7.55,7.64,7.52,7.58,7.58,6100
2015-11-18,7.66,7.69,7.59,7.61,7.61,5300
2015-11-19,7.66,7.73,7.62,7.73,7.73,8700
2015-11-20,7.6,7.85,7.6,7.77,7.77,7400
2015-11-23,7.85,7.85,7.79,7.84,7.84,700
2015-11-24,7.82,7.82,7.69,7.73,7.73,4300
2015-11-25,7.61,7.79,7.61,7.74,7.74,3800
2015-11-27,7.63,7.85,7.63,7.85,7.85,1000
2015-11-30,7.64,7.81,7.64,7.81,7.81,1000
2015-12-01,7.81,7.82,7.67,7.74,7.74,9000
2015-12-02,7.782,7.8,7.78,7.8,7.8,1500
2015-12-03,7.73,7.75,7.73,7.75,7.75,600
2015-12-04,7.85,7.85,7.63,7.78,7.78,1800
2015-12-07,7.7,7.78,7.7,7.78,7.78,6000
2015-12-08,7.72,7.79,7.62,7.63,7.63,12000
2015-12-09,7.62,7.66,7.6,7.62,7.62,14100
2015-12-10,7.21,7.74,7.21,7.73,7.73,9500
2015-12-11,7.65,7.73,7.5,7.51,7.51,27800
2015-12-14,7.6,7.689,7.38,7.47,7.47,35400
2015-12-15,7.41,7.55,7.41,7.41,7.41,2600
2015-12-16,7.5,7.5,7.49,7.49,7.49,700
2015-12-17,7.5,7.5,7.42,7.42,7.42,1300
2015-12-18,7.37,7.85,7.37,7.85,7.85,5100
2015-12-21,7.61,7.65,7.295,7.45,7.45,38300
2015-12-22,7.41,7.48,7.41,7.45,7.45,5700
2015-12-23,7.48,7.55,7.46,7.46,7.46,7200
2015-12-24,7.42,7.475,7.42,7.45,7.45,14100
2015-12-28,7.45,8.04,7.45,7.63,7.63,6500
2015-12-29,7.52,7.53,7.4,7.41,7.41,24100
2015-12-30,7.407,7.59,7.4,7.56,7.56,44800
2015-12-31,7.56,7.68,7.56,7.65,7.65,4100
2015-12-31,7.56,7.68,7.56,7.65,7.65,4100
